location_name,mention_count,avg_sentiment_score,sentiment_label,avg_emotion_intensity,total_emotions_detected,unique_emotions,latitude,longitude,neutral,fear,surprise,disgust,sadness,death,hunger,anger,joy,trauma,survival,disease,cruelty,suffering,despair,exhaustion
Mandorin,12,-0.05441849816849817,neutral,0.013697413697413697,16,7,117.561975,5.799095,6.0,4.0,,1.0,1.0,1.0,1.0,,,,,2.0,,,,
Mandorin River,3,0.016666666666666666,neutral,0.0,3,2,117.561975,5.799095,2.0,1.0,,,,,,,,,,,,,,
Maringan,3,0.07619047619047618,positive,0.018518518518518517,5,3,,,,,,1.0,2.0,2.0,,,,,,,,,,
Melbourne,2,-0.3,negative,0.07142857142857142,4,4,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,
Meridi,7,-0.0016285301999587728,neutral,0.011313220940550133,11,6,,,2.0,4.0,,2.0,,1.0,1.0,1.0,,,,,,,,
Merungin,3,-0.01666666666666667,neutral,0.022222222222222223,5,3,,,,3.0,,,,,1.0,1.0,,,,,,,,
Mile 42,2,-0.03333333333333334,neutral,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
Milulu,5,-0.11370370370370371,neutral,0.09090909090909091,9,4,,,,2.0,,1.0,3.0,3.0,,,,,,,,,,
Miri,4,0.041666666666666664,neutral,0.0,4,2,,,2.0,2.0,,,,,,,,,,,,,,
Miridi,4,0.2583333333333333,positive,0.0,4,2,,,2.0,2.0,,,,,,,,,,,,,,
Morotai,12,0.0402744708994709,neutral,0.01984126984126984,17,7,,,6.0,,2.0,,5.0,1.0,,,1.0,,,1.0,,1.0,,
Muanad,26,-0.022981277981277984,neutral,0.01069849082232983,34,10,117.621488,5.821497,11.0,4.0,3.0,1.0,7.0,3.0,1.0,2.0,1.0,,,1.0,,,,
Muanad River,4,0.0,neutral,0.0,4,1,117.621488,5.821497,4.0,,,,,,,,,,,,,,,
Mumiang,2,0.0,neutral,0.0,2,1,,,,2.0,,,,,,,,,,,,,,
Munyed,2,-0.25,negative,0.0,2,1,117.621488,5.821497,2.0,,,,,,,,,,,,,,,
Muruk,6,0.02048185941043084,neutral,0.0,6,4,116.782682,5.937485,2.0,2.0,1.0,1.0,,,,,,,,,,,,
Narawang,6,-0.17522246272246275,negative,0.007575757575757576,7,3,,,5.0,,,,1.0,,,,,,,,,1.0,,
Nelapak,4,-0.03708994708994709,neutral,0.0,4,2,116.779789,5.938119,3.0,1.0,,,,,,,,,,,,,,
New Guinea,5,0.1508787878787879,positive,0.041,11,4,,,2.0,,,1.0,4.0,4.0,,,,,,,,,,
New South Wales,5,0.11922451790633608,neutral,0.017391304347826087,7,4,,,1.0,1.0,,,3.0,2.0,,,,,,,,,,
North Borneo,8,0.036709015622059096,neutral,0.013888888888888888,10,6,,,5.0,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,
Number 1,2,-0.008761160714285716,neutral,0.0,4,4,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,
Number 2,2,0.014434523809523809,neutral,0.0,3,2,,,2.0,,1.0,,,,,,,,,,,,,
Outram Road,2,0.0,neutral,0.08695652173913043,4,2,,,,,,,2.0,,,,,,2.0,,,,,
Outram Road Gaol,2,0.1642857142857143,positive,0.0,2,2,,,,,,1.0,1.0,,,,,,,,,,,
POW camp,3,0.06666666666666667,neutral,0.0,3,2,,,2.0,,,1.0,,,,,,,,,,,,
PW CAMP,2,-0.016666666666666666,neutral,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
Paginatan,57,0.02195156451735399,neutral,0.03138601127434497,102,14,116.842847,5.738946,30.0,6.0,5.0,6.0,21.0,15.0,4.0,3.0,3.0,,1.0,3.0,2.0,1.0,,2.0
Pitas,6,0.11268518518518518,neutral,0.0,6,3,,,4.0,1.0,1.0,,,,,,,,,,,,,
Poring,2,0.05,neutral,0.0,2,1,,,,2.0,,,,,,,,,,,,,,
Rabaul,11,-0.027661080501989597,neutral,0.012121212121212121,12,3,,,4.0,,,,7.0,1.0,,,,,,,,,,
Ranau,228,0.006508395357079563,neutral,0.011156559975275617,295,14,116.676557,5.959678,137.0,36.0,18.0,16.0,32.0,18.0,4.0,16.0,4.0,,2.0,4.0,2.0,4.0,2.0,
Ranau 1 Compound,2,0.0,neutral,0.0,2,1,116.676557,5.959678,2.0,,,,,,,,,,,,,,,
Ranau Camp,2,0.0,neutral,0.0,2,1,116.676557,5.959678,2.0,,,,,,,,,,,,,,,
"Ranau Camp,",2,0.0,neutral,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
Ranau Number 1 Compound,2,-0.032142857142857154,neutral,0.0,2,1,116.676557,5.959678,2.0,,,,,,,,,,,,,,,
